DPTO_CCDGO,MPIO_CCDGO,MPIO_CNMBR,MPIO_CDPMP,LLAVE_MUNICIPIO,VERSION,AREA,LATITUD,LONGITUD,TSP16_HOG,STP27_PERS
91,405,LA CHORRERA,91405,COLOMBIA - 91405,2018,12726867908,-1.240494798,-72.76048341,448,2357
91,407,LA PEDRERA,91407,COLOMBIA - 91407,2018,13668214894,-1.427143001,-70.03830445,745,3781
91,430,LA VICTORIA,91430,COLOMBIA - 91430,2018,1432794978,-0.125016381,-71.10487805,40,166
91,460,MIRITÍ - PARANÁ,91460,COLOMBIA - 91460,2018,16867532538,-0.687037553,-71.1855046,179,1023
91,530,PUERTO ALEGRÍA,91530,COLOMBIA - 91530,2018,8494182494,-0.952145073,-73.75722748,167,681
91,536,PUERTO ARICA,91536,COLOMBIA - 91536,2018,13791326986,-1.91085406,-71.1484049,214,794
91,540,PUERTO NARIÑO,91540,COLOMBIA - 91540,2018,1509204302,-3.631323222,-70.47199039,1796,7896
91,669,PUERTO SANTANDER,91669,COLOMBIA - 91669,2018,14731088495,-1.101032624,-71.93893358,301,1450
91,798,TARAPACÁ,91798,COLOMBIA - 91798,2018,9195877935,-2.451794264,-70.00651535,693,3179
97,1,MITÚ,97001,COLOMBIA - 97001,2018,16215737264,1.01557185,-70.41755288,5280,27709
97,161,CARURÚ,97161,COLOMBIA - 97161,2018,6368486418,1.052762314,-71.33093035,537,2827
97,511,PACOA,97511,COLOMBIA - 97511,2018,13993250574,0.194770005,-70.93647229,596,3956
97,666,TARAIRA,97666,COLOMBIA - 97666,2018,6510246561,-0.719822209,-69.90776201,411,2010
97,777,PAPUNAHUA,97777,COLOMBIA - 97777,2018,5551153548,1.681611381,-70.70618761,103,432
97,889,YAVARATÉ,97889,COLOMBIA - 97889,2018,4660405650,0.833312241,-69.61867754,93,756
95,1,SAN JOSÉ DEL GUAVIARE,95001,COLOMBIA - 95001,2018,16768515120,2.484286091,-71.91916993,15050,48086
95,15,CALAMAR,95015,COLOMBIA - 95015,2018,13556415217,1.613634284,-73.0342639,2773,8648
95,25,EL RETORNO,95025,COLOMBIA - 95025,2018,12442225771,2.086115363,-71.53656687,3388,11340
95,200,MIRAFLORES,95200,COLOMBIA - 95200,2018,12808077057,1.363974932,-72.01810951,1606,5007
17,1,MANIZALES,17001,COLOMBIA - 17001,2018,441001655.2,5.08343301,-75.50727881,136806,400436
17,13,AGUADAS,17013,COLOMBIA - 17013,2018,475732664,5.596775375,-75.4503582,6955,20712
17,486,NEIRA,17486,COLOMBIA - 17486,2018,369342753,5.183358589,-75.50692977,6434,20495
17,446,MARULANDA,17446,COLOMBIA - 17446,2018,376959522.7,5.235585244,-75.28316648,746,2081
17,444,MARQUETALIA,17444,COLOMBIA - 17444,2018,90333037.34,5.309142491,-75.04117892,4344,12146
17,442,MARMATO,17442,COLOMBIA - 17442,2018,36886022.04,5.492632029,-75.60209955,2682,8485
17,433,MANZANARES,17433,COLOMBIA - 17433,2018,197911886.5,5.23295391,-75.15263447,5813,16532
17,388,LA MERCED,17388,COLOMBIA - 17388,2018,88600359.2,5.393185716,-75.55791071,1902,5325
17,380,LA DORADA,17380,COLOMBIA - 17380,2018,549236341.1,5.540526577,-74.71229575,23117,70802
17,272,FILADELFIA,17272,COLOMBIA - 17272,2018,192601366.8,5.285743777,-75.58978784,3383,9630
17,174,CHINCHINÁ,17174,COLOMBIA - 17174,2018,109372658.4,4.987117277,-75.66712475,15860,48484
17,88,BELALCÁZAR,17088,COLOMBIA - 17088,2018,113346685.3,4.99467728,-75.81225989,3161,9690
17,50,ARANZAZU,17050,COLOMBIA - 17050,2018,149576756.3,5.265539969,-75.47392619,3368,9854
17,42,ANSERMA,17042,COLOMBIA - 17042,2018,209142676.7,5.20029922,-75.75289078,10850,31811
17,495,NORCASIA,17495,COLOMBIA - 17495,2018,227546688.9,5.638062349,-74.85492707,1971,5949
17,877,VITERBO,17877,COLOMBIA - 17877,2018,112906369.2,5.047822054,-75.879297,4069,12432
17,873,VILLAMARÍA,17873,COLOMBIA - 17873,2018,455065833.2,4.940211591,-75.43544014,20373,62831
17,867,VICTORIA,17867,COLOMBIA - 17867,2018,558885284.8,5.447542859,-74.83622502,2794,8172
17,777,SUPÍA,17777,COLOMBIA - 17777,2018,121611572,5.45295802,-75.64035705,8379,26571
17,665,SAN JOSÉ,17665,COLOMBIA - 17665,2018,60942622.59,5.070704131,-75.81351498,1516,4524
17,662,SAMANÁ,17662,COLOMBIA - 17662,2018,758175286.4,5.5402858,-74.99368486,6326,17466
17,653,SALAMINA,17653,COLOMBIA - 17653,2018,388089334.4,5.370332425,-75.40962177,5847,16759
17,616,RISARALDA,17616,COLOMBIA - 17616,2018,89889373.4,5.112187396,-75.75879799,3313,9840
17,541,PENSILVANIA,17541,COLOMBIA - 17541,2018,498545107.6,5.407187836,-75.16683996,6044,17342
